schoolid,suburb,schoolname,region,address,longitude,latitude
1,ELWOOD,Yesodei HaTorah College,,"39 Dickens St, Elwood VIC 3184",144.9836,-37.8729
2,ST KILDA EAST,Yeshivah College,,"1 Empress Rd, St Kilda East VIC 3183",145.0013,-37.8687
3,YEA,Yea High School,,"Racecourse Rd, Yea VIC 3717",145.397,-37.2154
4,YARRAWONGA,Yarrawonga College P-12,,"Pinniger St, Yarrawonga VIC 3730",146.0054,-36.022
5,YARRAM,Yarram Secondary College,,"86 James St, Yarram VIC 3971",146.6836,-38.5662
6,RINGWOOD,Yarra Valley Grammar School,,"Kalinda Rd, Ringwood VIC 3134",145.2552,-37.7873
7,MOOROOLBARK,Yarra Hills Secondary College,,"16 Reay Road, Mooroolbark VIC 3138",145.3155,-37.7882
8,KEW,Xavier College,,"135 Barkers Rd, Kew VIC 3101",145.0358,-37.8146
9,WERRIBEE,Wyndham Central Secondary College,SOUTH WEST,"101 Shaws Rd, Werribee VIC 3030",144.6539,-37.889
10,WYCHEPROOF,Wycheproof P-12 College,,"McKenzie Cres, Wycheproof VIC 3527",143.2283,-36.0752
11,LANGWARRIN SOUTH,Woodleigh School,,"485 Golf Links Rd, Langwarrin South VIC 3911",145.1736,-38.1926
12,WONTHAGGI,Wonthaggi Secondary College,,"S Dudley Rd, Wonthaggi VIC 3995",145.5794,-38.5979
13,WODONGA,Wodonga Senior Secondary College,,"80 Brockley St, Wodonga VIC 3690",146.8807,-36.1274
14,WILLIAMSTOWN,Williamstown High School,INNER WEST,"76 Pasco St, Williamstown VIC 3016",144.8951,-37.863
15,RESERVOIR,William Ruthven Secondary College,,"60 Merrilands Rd, Reservoir VIC 3073",145.0032,-37.6968
16,WHITTLESEA,Whittlesea Secondary College,,"Laurel St, Whittlesea VIC 3757",145.1222,-37.5149
17,DONVALE,Whitefriars College,,"156-158 Park Rd, Donvale VIC 3111",145.1986,-37.7901
18,WHEELERS HILL,Wheelers Hill Secondary College,,"Raphael Dr, Wheelers Hill VIC 3150",145.1824,-37.9101
19,HASTINGS,Western Port Secondary College,,"215 High St, Hastings VIC 3915",145.1753,-38.3094
20,HAMLYN HEIGHTS,Western Heights Secondary College,,"37-61 Vines Rd, Hamlyn Heights VIC 3215",144.3282,-38.1228
21,GEELONG NORTH,Western Heights College,,"37-61 Vines Rd, Hamlyn Heights VIC 3215",144.3282,-38.1228
22,TRUGANINA,Westbourne Grammar School,SOUTH WEST,"300 Sayers Rd, Truganina VIC 3029",144.7233,-37.8519
23,CLAYTON SOUTH,Westall Secondary College,,"88 Rosebank Ave, Clayton South VIC 3169",145.1363,-37.9402
24,MELBOURNE,Wesley College,,"577 St Kilda Rd, Melbourne VIC 3004",144.9801,-37.8485
25,WERRIMULL,Werrimull P-12 School,,"King St, Werrimull VIC 3496",141.5968,-34.3887
26,WERRIMULL,WERRIMULL P-12 COLLEGE,,"King St, Werrimull VIC 3496",141.5968,-34.3887
27,WERRIBEE,Werribee Secondary College,SOUTH WEST,"Duncans Rd, Werribee VIC 3030",144.6727,-37.9073
28,MULGRAVE,Wellington Secondary College,,"91 Police Rd, Mulgrave VIC 3170",145.1691,-37.9345
29,WEDDERBURN,Wedderburn College,,"15-29 Hospital St, Wedderburn VIC 3518",143.6176,-36.4171
30,WANTIRNA SOUTH,Waverley Christian College,,"1248 High St Rd, Wantirna South VIC 3152",145.2148,-37.8792
31,WARRNAMBOOL,Warrnambool College,,"Grafton Rd, Warrnambool VIC 3280",142.5025,-38.379
32,WARRANDYTE,Warrandyte High School,,"241-247 Heidelberg-Warrandyte Rd, Warrandyte VIC 3113",145.1846,-37.7482
33,WARRAGUL,Warragul Regional College,,"55 Burke St, Warragul VIC 3820",145.9246,-38.1642
34,WARRACKNABEAL,Warracknabeal Secondary College,,"Tregear St, Warracknabeal VIC 3393",142.3903,-36.2621
35,WANTIRNA,Wantirna College,,"90 Harold St, Wantirna VIC 3152",145.23,-37.8578
36,WANGARATTA,Wangaratta High School,,"17-49 Edwards St, Wangaratta VIC 3677",146.3091,-36.3433
37,SHEPPARTON,Wanganui Park Secondary College,,"Parkside Dr, Shepparton VIC 3630",145.3867,-36.3565
38,WALLAN,Wallan Secondary College,,"100 Duke St, Wallan VIC 3756",144.9807,-37.4167
39,ROSANNA,Viewbank College,,"1 Warren Rd, Viewbank VIC 3084",145.0864,-37.741
40,WEST WODONGA,Victory Lutheran College,,"28 Drage Rd, West Wodonga VIC 3690",146.8466,-36.117
41,STRATHDALE,Victory Christian College,,"6 Kairn Rd, Strathdale VIC 3550",144.3133,-36.7836
42,SOUTHBANK,Victorian College of the Arts,,"234 St Kilda Rd, Southbank VIC 3006",144.9702,-37.8247
43,MELBOURNE,Victorian College for the Deaf,,"597 St Kilda Rd, Melbourne VIC 3004",144.9809,-37.8497
